Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
World, 3 759, 3 836, 3 914, 3 991, 4 065, 4 139, 4 212, 4 287, 4 362, 4 438, 4 514, 4 593, 4 673, 4 753, 4 834, 4 919, 5 005, 5 092, 5 178, 5 265, 5 350, 5 434, 5 517, 5 599, 5 680, 5 761, 5 841, 5 920, 6 000, 6 074, 6 151, 6 228, 6 306, 6 382, 6 459, 6 535, 6 610, 6 688
Canada,  22.0,  22.2,  22.5,  22.8,  23.1,  23.5,  23.7,  24.0,  24.2,  24.5,  24.8,  25.1,  25.4,  25.6,  25.8,  26.1,  26.4,  26.8,  27.3,  27.7,  28.0,  28.4,  28.7,  29.0,  29.3,  29.6,  29.9,  30.2,  30.4,  30.7,  31.0,  31.4,  31.6,  31.9,  32.2,  32.6,  32.9,  33.3
Mexico,  49.9,  51.6,  53.3,  55.0,  56.7,  58.5,  60.2,  61.9,  63.7,  65.7,  67.3,  68.8,  70.4,  72.0,  73.5,  75.0,  76.6,  78.1,  79.7,  81.3,  84.7,  86.2,  87.8,  89.4,  91.1,  92.5,  93.9,  95.2,  96.6,  98.3,  99.6,  100.8,  101.9,  102.9,  103.8,  104.7,  105.7,  106.6
United States,  207.7,  209.9,  211.9,  213.9,  216.0,  218.1,  220.3,  222.6,  225.1,  227.7,  230.0,  232.2,  234.3,  236.4,  238.5,  240.7,  242.8,  245.1,  247.4,  250.2,  253.5,  256.9,  260.3,  263.5,  266.6,  269.7,  273.0,  276.2,  279.3,  282.4,  285.3,  288.1,  290.7,  293.3,  296.0,  298.8,  301.7,  304.5
OECD North America,  279.5,  283.7,  287.7,  291.7,  295.9,  300.0,  304.2,  308.5,  313.0,  317.9,  322.1,  326.2,  330.1,  334.0,  337.9,  341.8,  345.9,  350.0,  354.4,  359.1,  366.2,  371.5,  376.8,  381.8,  387.0,  391.9,  396.8,  401.5,  406.3,  411.4,  415.9,  420.2,  424.2,  428.2,  432.1,  436.1,  440.3,  444.4
Australia,  13.2,  13.4,  13.6,  13.8,  14.0,  14.1,  14.3,  14.4,  14.6,  14.8,  15.1,  15.3,  15.5,  15.7,  15.9,  16.1,  16.4,  16.7,  16.9,  17.2,  17.4,  17.6,  17.8,  17.9,  18.2,  18.4,  18.6,  18.8,  19.0,  19.3,  19.5,  19.8,  20.0,  20.2,  20.5,  20.8,  21.2,  21.5
Japan,  105.0,  106.4,  108.9,  110.4,  111.8,  113.0,  114.1,  115.2,  116.1,  117.1,  117.9,  118.7,  119.5,  120.3,  121.0,  121.7,  122.2,  122.7,  123.2,  123.6,  124.1,  124.6,  124.9,  125.3,  125.6,  125.9,  126.2,  126.5,  126.7,  126.9,  127.3,  127.5,  127.7,  127.8,  127.8,  127.8,  127.8,  127.7
Korea,  32.9,  33.5,  34.1,  34.7,  35.3,  35.8,  36.4,  37.0,  37.5,  38.1,  38.7,  39.3,  39.9,  40.4,  40.8,  41.2,  41.6,  42.0,  42.4,  42.9,  43.3,  43.7,  44.2,  44.6,  45.1,  45.5,  46.0,  46.3,  46.6,  47.0,  47.4,  47.6,  47.9,  48.0,  48.1,  48.3,  48.5,  48.6
New Zealand,  2.9,  2.9,  3.0,  3.0,  3.1,  3.1,  3.1,  3.1,  3.1,  3.1,  3.2,  3.2,  3.2,  3.3,  3.3,  3.3,  3.3,  3.3,  3.4,  3.5,  3.5,  3.6,  3.6,  3.7,  3.7,  3.8,  3.8,  3.8,  3.9,  3.9,  3.9,  4.0,  4.1,  4.1,  4.2,  4.2,  4.3,  4.3
OECD Pacific,  153.9,  156.2,  159.6,  162.0,  164.1,  166.1,  168.0,  169.7,  171.4,  173.1,  174.8,  176.5,  178.2,  179.6,  181.0,  182.3,  183.6,  184.8,  186.0,  187.1,  188.3,  189.5,  190.5,  191.5,  192.6,  193.6,  194.5,  195.4,  196.2,  197.1,  198.1,  198.9,  199.6,  200.2,  200.6,  201.1,  201.6,  202.1
