Region/Country/Economy,"Total CO2 emissions from fuel combustion",Electricity and heat production,"Other energy industries**","Manuf. industries and construction",Transport,of which: road,Other sectors,of which: residential
World, 29 381.4, 11 987.9, 1 491.9, 5 943.6, 6 604.7, 4 848.4, 3 353.4, 1 905.1
Canada,  550.9,  119.3,  65.1,  97.9,  162.0,  126.9,  106.6,  40.9
Mexico,  408.3,  113.9,  50.1,  60.8,  151.4,  146.8,  32.1,  19.3
United States, 5 595.9, 2 403.4,  268.3,  633.1, 1 691.6, 1 455.9,  599.5,  332.7
OECD North America, 6 555.1, 2 636.6,  383.6,  791.7, 2 004.9, 1 729.5,  738.3,  392.8
Australia,  397.5,  227.1,  22.8,  50.2,  79.7,  67.9,  17.8,  7.7
Japan, 1 151.1,  472.2,  41.2,  247.5,  226.2,  202.6,  164.1,  58.8
Korea,  501.3,  229.6,  32.9,  95.9,  84.2,  78.8,  58.6,  32.6
New Zealand,  33.3,  9.4,  1.5,  6.1,  13.9,  12.7,  2.3,  0.4
OECD Pacific, 2 083.3,  938.3,  98.4,  399.7,  404.0,  361.8,  242.8,  99.4
Austria,  69.3,  15.2,  8.4,  12.6,  22.1,  20.8,  11.0,  7.4
Belgium,  111.0,  23.0,  5.3,  27.4,  27.1,  26.6,  28.2,  18.6
Czech Republic,  116.8,  63.7,  2.8,  20.7,  17.8,  16.9,  11.8,  6.7
Denmark,  48.4,  21.8,  2.5,  4.8,  13.7,  12.8,  5.6,  2.9
Finland,  56.6,  24.3,  2.7,  12.2,  12.7,  11.5,  4.7,  1.9
France,  368.2,  50.8,  18.9,  70.5,  124.7,  118.7,  103.4,  58.5
Germany,  803.9,  337.3,  26.0,  118.1,  148.4,  139.9,  174.1,  121.4
Greece,  93.4,  46.4,  3.5,  9.2,  22.1,  19.0,  12.3,  8.3
Hungary,  53.0,  18.4,  1.5,  7.0,  12.8,  12.6,  13.2,  8.6
Iceland,  2.2,  0.0,-,  0.7,  0.9,  0.8,  0.6,  0.0
Ireland,  43.8,  14.3,  0.5,  5.0,  13.4,  13.0,  10.6,  7.1
Italy,  430.1,  146.9,  17.6,  68.0,  117.0,  109.6,  80.6,  48.9
Luxembourg,  10.4,  1.1,-,  1.5,  6.4,  6.4,  1.4,  1.3
Netherlands,  177.9,  57.2,  10.8,  37.8,  35.0,  33.8,  37.1,  16.8
Norway,  37.6,  0.8,  11.8,  8.0,  14.0,  10.4,  3.0,  0.5
Poland,  298.7,  158.4,  8.4,  37.7,  44.2,  42.7,  50.0,  31.3
Portugal,  52.4,  18.9,  2.1,  8.4,  18.7,  18.1,  4.4,  2.0
Slovak Republic,  36.2,  8.6,  4.7,  9.3,  7.1,  5.8,  6.5,  3.1
Spain,  317.6,  101.4,  18.3,  55.1,  109.1,  95.2,  33.8,  19.4
Sweden,  45.9,  8.0,  2.5,  9.6,  23.3,  22.0,  2.5,  0.4
Switzerland,  43.7,  2.0,  1.1,  6.5,  17.2,  17.0,  16.9,  10.8
Turkey,  263.5,  104.1,  8.4,  38.5,  45.1,  39.5,  67.4,  39.6
United Kingdom,  510.6,  194.9,  32.5,  58.8,  124.8,  114.9,  99.7,  76.5
OECD Europe, 3 991.2, 1 417.2,  190.3,  627.6,  977.5,  908.1,  778.7,  492.1
Algeria,  88.1,  24.0,  10.5,  11.9,  19.7,  17.7,  21.9,  21.9
Angola,  10.6,  0.2,  0.2,  2.5,  5.3,  3.5,  2.3,  0.9
Benin,  3.3,  0.1,-,  0.2,  2.0,  2.0,  1.0,  1.0
Botswana,  4.5,  1.1,-,  1.2,  2.0,  1.9,  0.2,  0.1
Cameroon,  4.3,  1.3,  0.2,  0.3,  2.2,  2.1,  0.4,  0.4
Congo,  1.5,  0.0,-,  0.1,  1.3,  1.1,  0.1,  0.1
Dem. Rep. of Congo,  2.8,  0.0,-,  1.0,  0.6,  0.6,  1.2,  0.3
Côte d'Ivoire,  6.5,  2.6,  0.2,  0.6,  1.6,  1.3,  1.5,  0.5
Egypt,  174.0,  60.2,  14.7,  40.8,  38.1,  35.0,  20.3,  14.1
Eritrea,  0.5,  0.2,-,  0.0,  0.1,  0.1,  0.1,  0.1
Ethiopia,  6.8,  0.4,-,  1.7,  3.9,  3.9,  0.8,  0.8
Gabon,  3.0,  0.8,  0.0,  1.2,  0.6,  0.6,  0.3,  0.2
Ghana,  7.3,  1.8,  0.1,  1.1,  3.6,  3.4,  0.6,  0.4
Kenya,  8.6,  2.3,  0.5,  1.4,  3.2,  3.1,  1.3,  0.8
Libyan Arab Jamahiriya,  44.8,  25.4,  2.5,  4.2,  10.2,  10.2,  2.5,  2.5
Morocco,  42.1,  14.9,  0.7,  7.2,  10.8,  10.8,  8.5,  4.0
Mozambique,  1.9,  0.0,  0.0,  0.4,  1.4,  1.2,  0.2,  0.1
Namibia,  3.9,  0.9,-,  0.3,  1.9,  1.7,  0.9,-
Nigeria,  52.4,  8.5,  10.6,  5.3,  25.4,  25.3,  2.5,  2.5
Senegal,  5.1,  1.4,  0.0,  0.9,  2.3,  2.1,  0.4,  0.4
South Africa,  337.4,  213.3,  4.4,  45.4,  45.8,  42.3,  28.4,  16.2
Sudan,  12.1,  2.8,  0.5,  1.2,  6.7,  6.7,  0.9,  0.7
United Rep. of Tanzania,  5.8,  1.1,-,  0.8,  3.3,  3.3,  0.7,  0.6
Togo,  1.1,  0.0,-,  0.1,  0.9,  0.9,  0.1,  0.1
Tunisia,  20.7,  8.0,  0.2,  3.7,  4.8,  4.7,  4.1,  1.9
Zambia,  1.6,  0.0,  0.0,  0.8,  0.5,  0.4,  0.2,-
Zimbabwe,  8.8,  4.9,  0.0,  1.4,  1.1,  1.0,  1.3,  0.1
Other Africa,  30.4,  7.9,  0.1,  4.9,  12.3,  10.7,  5.3,  2.0
Africa,  889.9,  384.4,  45.6,  140.4,  211.6,  197.4,  107.9,  72.4
Bahrain,  22.3,  7.8,  4.3,  6.9,  3.1,  3.0,  0.2,  0.2
Islamic Rep. of Iran,  505.0,  124.8,  21.8,  113.3,  110.2,  110.2,  134.9,  99.9
Iraq,  97.4,  29.9,  4.8,  23.4,  30.2,  30.2,  9.0,  9.0
Israel,  63.1,  39.1,  2.9,  1.7,  10.3,  10.3,  9.0,  2.8
Jordan,  18.4,  8.2,  0.7,  2.6,  4.6,  4.5,  2.4,  1.5
Kuwait,  69.5,  31.8,  15.6,  10.8,  10.7,  10.7,  0.5,  0.5
Lebanon,  15.2,  7.5,-,  1.7,  4.3,  4.3,  1.6,  1.6
Oman,  34.9,  13.5,  6.3,  8.1,  5.3,  5.3,  1.7,  0.4
Qatar,  53.9,  11.5,  16.6,  17.0,  8.6,  8.6,  0.2,  0.2
Saudi Arabia,  389.2,  154.0,  46.1,  89.1,  96.0,  94.0,  4.0,  4.0
Syrian Arab Republic,  54.4,  25.1,  2.0,  11.4,  12.1,  11.7,  3.8,  1.6
United Arab Emirates,  146.9,  72.6,  2.0,  43.7,  25.2,  25.2,  3.4,  3.4
Yemen,  21.9,  4.2,  3.4,  2.5,  5.9,  5.9,  6.0,  2.0
Middle East, 1 492.3,  529.9,  126.6,  332.3,  326.6,  324.2,  176.9,  127.3
Albania,  3.9,  0.1,  0.2,  0.6,  2.3,  2.0,  0.7,  0.2
Bosnia and Herzegovina,  19.5,  13.4,  0.1,  1.3,  2.8,  2.7,  1.9,  0.1
Bulgaria,  48.8,  30.0,  1.3,  7.4,  8.3,  7.5,  1.8,  0.9
Croatia,  20.9,  5.3,  1.6,  4.4,  6.2,  5.7,  3.4,  2.0
Cyprus,  7.6,  3.9,-,  1.1,  2.0,  2.0,  0.6,  0.3
Gibraltar,  0.5,  0.1,-,  0.1,  0.3,  0.3,-,-
FYR of Macedonia,  9.0,  6.1,  0.0,  1.3,  1.2,  1.2,  0.4,  0.1
Malta,  2.6,  2.0,-,-,  0.5,  0.5,  0.1,  0.1
Romania,  89.9,  38.7,  6.6,  20.0,  14.9,  13.6,  9.6,  6.0
Serbia,  49.2,  31.0,  0.1,  8.3,  6.5,  5.6,  3.3,  2.0
Slovenia,  16.7,  6.2,  0.0,  2.4,  5.9,  5.9,  2.1,  1.2
Former Yugoslavia (if no detail),x,x,x,x,x,x,x,x
Non-OECD Europe,  268.6,  136.9,  10.0,  47.0,  50.8,  47.1,  23.9,  13.0
Armenia,  5.3,  1.0,-,  2.0,  0.8,  0.8,  1.4,-
Azerbaijan,  29.3,  12.6,  2.2,  2.2,  5.2,  4.8,  7.2,  6.3
Belarus,  64.2,  32.5,  1.5,  12.7,  6.6,  4.4,  10.9,  7.6
Estonia,  17.6,  13.2,  0.1,  1.4,  2.3,  2.2,  0.5,  0.2
Georgia,  4.7,  0.7,  0.2,  0.7,  1.8,  1.7,  1.3,  0.7
Kazakhstan,  201.6,  83.6,  12.0,  44.9,  14.2,  12.5,  46.9,  0.6
Kyrgyzstan,  5.9,  1.4,-,  1.7,  1.4,  1.4,  1.4,-
Latvia,  7.9,  2.0,-,  1.1,  3.5,  3.3,  1.2,  0.4
Lithuania,  14.2,  3.0,  2.0,  3.0,  5.0,  4.6,  1.2,  0.6
Republic of Moldova,  7.1,  3.4,-,  0.7,  1.0,  0.9,  2.0,  1.4
Russian Federation, 1 593.8,  873.9,  74.1,  229.5,  243.3,  131.9,  173.0,  126.5
Tajikistan,  3.0,  0.5,-,-,  0.3,  0.3,  2.2,-
Turkmenistan,  47.3,  13.6,  7.0,-,  2.8,  2.8,  24.0,-
Ukraine,  309.6,  131.9,  7.9,  91.1,  32.4,  24.0,  46.2,  39.5
Uzbekistan,  114.9,  34.1,  4.2,  21.8,  9.0,  4.9,  45.8,  35.1
Former Soviet Union (if no detail),x,x,x,x,x,x,x,x
Former Soviet Union, 2 426.5, 1 207.3,  111.1,  413.0,  329.7,  200.6,  365.4,  219.0
Argentina,  173.8,  44.4,  16.3,  38.7,  42.7,  39.8,  31.7,  19.3
Bolivia,  12.9,  3.1,  1.4,  2.2,  4.6,  4.2,  1.6,  1.3
Brazil,  364.6,  41.2,  27.9,  108.3,  149.5,  134.6,  37.6,  16.3
Chile,  73.0,  24.6,  3.9,  14.0,  25.6,  17.3,  5.0,  3.2
Colombia,  60.0,  6.0,  5.2,  19.0,  23.1,  22.2,  6.7,  4.2
Costa Rica,  6.6,  0.6,  0.1,  1.1,  4.3,  4.3,  0.5,  0.1
Cuba,  30.5,  16.1,  0.1,  8.6,  0.9,  0.9,  4.7,  1.0
Dominican Republic,  19.6,  9.7,  0.1,  1.2,  5.7,  4.2,  2.8,  2.5
Ecuador,  25.9,  4.9,  0.5,  4.5,  12.7,  11.5,  3.3,  2.9
El Salvador,  5.8,  1.5,  0.0,  1.4,  2.4,  2.4,  0.5,  0.5
Guatemala,  10.6,  2.9,-,  1.6,  5.4,  5.4,  0.6,  0.6
Haiti,  2.3,  0.2,-,  0.5,  1.3,  0.7,  0.2,  0.2
Honduras,  7.8,  2.7,-,  1.5,  2.9,  2.9,  0.6,  0.2
Jamaica,  11.9,  6.1,  0.0,  0.4,  2.6,  1.6,  2.9,  0.2
Netherlands Antilles,  4.4,  0.9,  1.5,  0.7,  1.2,  1.2,  0.2,  0.2
Nicaragua,  4.1,  1.6,  0.1,  0.6,  1.5,  1.3,  0.4,  0.1
Panama,  6.5,  1.8,-,  1.2,  3.1,  1.4,  0.4,  0.3
Paraguay,  3.7,-,-,  0.1,  3.4,  3.3,  0.2,  0.2
Peru,  34.9,  7.3,  2.0,  9.3,  13.2,  12.9,  3.1,  1.8
Trinidad and Tobago,  38.0,  5.4,  8.2,  21.5,  2.3,  2.3,  0.5,  0.5
Uruguay,  7.6,  2.7,  0.3,  0.9,  2.6,  2.6,  1.1,  0.4
Venezuela,  145.7,  24.2,  28.8,  40.8,  45.2,  44.9,  6.8,  5.7
Other Latin America,  17.9,  8.1,  0.0,  1.4,  5.4,  4.8,  3.0,  1.3
Latin America, 1 068.2,  215.9,  96.4,  279.6,  361.8,  326.8,  114.5,  63.0
Bangladesh,  46.4,  20.1,  0.2,  11.4,  6.6,  5.1,  8.2,  5.2
Brunei Darussalam,  7.5,  2.6,  1.5,  2.0,  1.1,  1.1,  0.2,  0.1
Cambodia,  4.6,  1.7,-,  0.2,  1.1,  1.1,  1.6,  1.2
Chinese Taipei,  264.3,  152.7,  15.6,  51.2,  34.6,  33.4,  10.2,  4.8
India, 1 427.6,  803.7,  50.7,  279.8,  131.9,  121.1,  161.5,  75.3
Indonesia,  385.4,  108.5,  36.8,  131.0,  75.9,  69.0,  33.1,  20.7
DPR of Korea,  69.4,  11.2,  0.0,  43.6,  1.2,  1.2,  13.3,  0.1
Malaysia,  180.9,  63.9,  25.8,  43.7,  42.1,  41.5,  5.3,  2.7
Mongolia,  11.4,  7.1,  0.0,  1.5,  1.6,  1.2,  1.2,  0.6
Myanmar,  11.7,  1.9,  0.6,  3.0,  3.3,  3.2,  3.0,  0.3
Nepal,  3.3,  0.0,-,  1.1,  0.9,  0.9,  1.3,  0.8
Pakistan,  133.8,  41.3,  1.9,  43.3,  31.5,  30.6,  15.7,  12.3
Philippines,  72.3,  29.6,  2.2,  13.0,  22.6,  20.4,  4.9,  2.5
Singapore,  44.3,  22.2,  9.5,  5.3,  7.2,  7.2,  0.2,  0.2
Sri Lanka,  12.2,  3.9,  0.2,  1.3,  5.9,  5.2,  1.0,  0.3
Thailand,  229.5,  78.0,  16.3,  67.1,  51.1,  50.7,  17.0,  6.4
Vietnam,  103.0,  30.2,-,  36.1,  25.3,  23.2,  11.4,  6.2
Other Asia,  15.3,  6.0,-,  3.2,  3.7,  2.5,  2.4,  0.5
Asia, 3 022.8, 1 384.5,  161.4,  737.8,  447.7,  418.5,  291.5,  140.2
People's Rep. of China, 6 508.2, 3 108.1,  268.6, 2 167.9,  452.6,  330.1,  511.0,  285.1
"Hong Kong, China",  42.2,  28.8,-,  6.6,  4.3,  4.3,  2.5,  0.8
China, 6 550.5, 3 136.9,  268.6, 2 174.5,  456.9,  334.4,  513.5,  285.9
European Union - 27, 3 849.5, 1 409.4,  179.1,  610.4,  942.7,  879.9,  708.0,  451.0
