Region/Country/Economy,"Total CO2 emissions from fuel combustion",Electricity and heat production,"Other energy industries**","Manuf. industries and construction",Transport,of which: road,Other sectors,of which: residential
World, 4 393, 1 792,  223,  889,  988,  725,  501,  285
Canada, 16 530, 3 579, 1 955, 2 937, 4 861, 3 806, 3 199, 1 227
Mexico, 3 831, 1 069,  470,  570, 1 420, 1 378,  301,  181
United States, 18 376, 7 892,  881, 2 079, 5 555, 4 781, 1 969, 1 092
OECD North America, 14 750, 5 933,  863, 1 781, 4 511, 3 892, 1 661,  884
Australia, 18 478, 10 556, 1 058, 2 333, 3 706, 3 154,  826,  357
Japan, 9 015, 3 698,  323, 1 938, 1 772, 1 586, 1 285,  460
Korea, 10 313, 4 723,  677, 1 974, 1 732, 1 620, 1 206,  670
New Zealand, 7 736, 2 188,  350, 1 427, 3 228, 2 943,  543,  92
OECD Pacific, 10 307, 4 642,  487, 1 978, 1 999, 1 790, 1 201,  492
Austria, 8 315, 1 823, 1 012, 1 508, 2 649, 2 496, 1 322,  886
Belgium, 10 362, 2 146,  491, 2 563, 2 530, 2 480, 2 634, 1 737
Czech Republic, 11 202, 6 108,  268, 1 986, 1 709, 1 622, 1 130,  646
Denmark, 8 815, 3 965,  450,  880, 2 494, 2 324, 1 026,  532
Finland, 10 650, 4 577,  507, 2 289, 2 390, 2 168,  888,  356
France, 5 743,  792,  294, 1 100, 1 945, 1 851, 1 612,  913
Germany, 9 789, 4 107,  317, 1 439, 1 807, 1 703, 2 120, 1 479
Greece, 8 311, 4 127,  310,  818, 1 963, 1 688, 1 093,  741
Hungary, 5 281, 1 833,  152,  699, 1 280, 1 252, 1 317,  858
Iceland, 6 888,  46,-, 2 148, 2 844, 2 604, 1 850,  29
Ireland, 9 847, 3 212,  108, 1 134, 3 016, 2 931, 2 377, 1 587
Italy, 7 182, 2 453,  294, 1 135, 1 954, 1 831, 1 346,  816
Luxembourg, 21 269, 2 177,-, 3 023, 13 166, 13 089, 2 903, 2 750
Netherlands, 10 819, 3 476,  660, 2 298, 2 126, 2 059, 2 258, 1 023
Norway, 7 888,  160, 2 476, 1 677, 2 944, 2 187,  630,  105
Poland, 7 836, 4 156,  220,  990, 1 159, 1 119, 1 312,  821
Portugal, 4 937, 1 775,  194,  792, 1 761, 1 709,  415,  187
Slovak Republic, 6 702, 1 599,  876, 1 722, 1 305, 1 068, 1 199,  567
Spain, 6 967, 2 224,  401, 1 209, 2 392, 2 089,  741,  426
Sweden, 4 956,  860,  273, 1 042, 2 513, 2 379,  269,  45
Switzerland, 5 668,  256,  141,  844, 2 237, 2 201, 2 190, 1 401
Turkey, 3 707, 1 465,  118,  542,  634,  556,  948,  557
United Kingdom, 8 323, 3 176,  530,  958, 2 034, 1 873, 1 625, 1 246
OECD Europe, 7 347, 2 609,  350, 1 155, 1 799, 1 671, 1 433,  906
Algeria, 2 564,  698,  307,  348,  573,  514,  638,  638
Angola,  586,  8,  13,  141,  295,  192,  129,  48
Benin,  378,  11,-,  19,  231,  231,  116,  116
Botswana, 2 371,  593,-,  637, 1 035, 1 014,  107,  41
Cameroon,  227,  68,  10,  16,  115,  109,  19,  19
Congo,  411,  14,-,  18,  357,  295,  22,  22
