Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
World, 5 199, 5 269, 5 462, 5 490, 5 607, 5 831, 6 019, 6 176, 6 445, 6 569, 6 619, 6 655, 6 827, 7 131, 7 377, 7 463, 7 785, 8 049, 8 161, 8 310, 8 266, 8 172, 8 194, 8 229, 8 538, 8 813, 8 746, 8 743, 8 565, 8 823, 8 919, 9 071, 9 736, 10 473, 11 013, 11 695, 12 225, 12 595
Canada,  61.7,  57.0,  57.5,  56.3,  56.6,  62.3,  66.8,  68.4,  73.4,  80.5,  82.2,  88.0,  93.2,  102.5,  99.4,  91.7,  98.8,  106.9,  107.3,  98.8,  103.8,  106.7,  98.1,  101.4,  103.3,  105.1,  111.8,  116.7,  117.3,  127.0,  124.2,  120.5,  119.5,  114.4,  115.8,  117.0,  119.1,  112.2
Mexico,  5.2,  5.8,  6.5,  6.8,  6.6,  7.3,  8.0,  8.1,  7.9,  7.2,  7.7,  8.1,  11.1,  11.1,  11.6,  11.8,  12.9,  11.6,  13.2,  14.2,  13.6,  14.5,  16.1,  19.1,  21.5,  25.0,  25.8,  26.3,  26.4,  27.0,  29.3,  33.8,  37.8,  31.2,  40.0,  37.1,  39.2,  30.9
United States, 1 078.7, 1 142.6, 1 210.4, 1 203.4, 1 196.4, 1 274.0, 1 323.4, 1 308.1, 1 386.9, 1 400.7, 1 479.9, 1 416.0, 1 491.3, 1 575.3, 1 625.5, 1 591.2, 1 661.7, 1 742.8, 1 758.3, 1 797.4, 1 783.7, 1 787.6, 1 837.2, 1 842.5, 1 896.4, 1 971.9, 2 058.0, 2 038.4, 2 021.4, 2 125.1, 2 127.4, 2 041.1, 2 078.0, 2 097.3, 2 123.7, 2 093.3, 2 118.1, 2 085.7
OECD North America, 1 145.6, 1 205.3, 1 274.4, 1 266.4, 1 259.6, 1 343.5, 1 398.2, 1 384.6, 1 468.2, 1 488.5, 1 569.9, 1 512.1, 1 595.6, 1 688.9, 1 736.6, 1 694.7, 1 773.4, 1 861.4, 1 878.9, 1 910.4, 1 901.1, 1 908.7, 1 951.4, 1 962.9, 2 021.2, 2 102.1, 2 195.5, 2 181.5, 2 165.1, 2 279.2, 2 280.9, 2 195.3, 2 235.2, 2 242.9, 2 279.6, 2 247.3, 2 276.3, 2 228.7
Australia,  73.2,  77.2,  79.3,  84.6,  90.3,  90.5,  98.2,  90.5,  94.6,  104.0,  105.1,  109.9,  103.2,  105.8,  116.7,  115.0,  122.9,  128.0,  137.1,  137.1,  141.9,  145.0,  145.9,  148.1,  152.4,  158.6,  165.4,  182.4,  188.3,  189.3,  200.7,  205.1,  203.7,  210.7,  222.4,  228.3,  218.1,  222.7
Japan,  194.1,  199.2,  202.8,  202.7,  197.7,  196.2,  186.1,  168.2,  181.3,  190.8,  205.1,  217.5,  214.4,  237.4,  248.8,  240.1,  238.2,  258.3,  259.4,  293.4,  292.4,  289.9,  296.9,  308.6,  319.9,  331.1,  339.7,  326.8,  344.8,  369.1,  378.3,  398.2,  411.5,  420.7,  429.8,  431.6,  449.9,  413.8
Korea,  21.2,  22.0,  27.2,  29.0,  30.6,  33.1,  35.9,  36.6,  42.0,  48.1,  54.2,  54.8,  59.8,  73.0,  80.2,  84.0,  83.8,  89.2,  85.4,  86.3,  87.2,  82.4,  90.5,  96.1,  101.6,  116.8,  126.4,  130.3,  136.5,  156.9,  174.2,  177.3,  179.7,  194.2,  193.9,  204.8,  211.3,  236.1
New Zealand,  4.2,  4.3,  4.9,  5.2,  4.8,  5.0,  4.8,  4.2,  3.6,  3.8,  3.8,  3.8,  4.2,  4.2,  3.9,  3.4,  4.0,  4.7,  4.1,  4.5,  4.4,  4.9,  4.6,  4.4,  4.5,  4.4,  4.8,  4.4,  4.5,  4.2,  5.2,  4.7,  7.4,  7.8,  8.6,  8.6,  6.2,  7.8
OECD Pacific,  292.7,  302.7,  314.2,  321.5,  323.5,  324.9,  324.9,  299.4,  321.5,  346.8,  368.3,  386.1,  381.6,  420.4,  449.5,  442.5,  448.9,  480.3,  486.1,  521.4,  525.9,  522.2,  537.9,  557.1,  578.4,  610.9,  636.3,  644.0,  674.1,  719.6,  758.4,  785.3,  802.3,  833.4,  854.7,  873.3,  885.4,  880.5
Austria,  15.9,  14.9,  14.9,  15.5,  13.5,  14.4,  12.1,  12.5,  13.5,  13.7,  14.6,  13.9,  14.7,  16.8,  16.9,  14.8,  14.8,  13.8,  13.8,  16.1,  17.0,  13.1,  11.8,  12.0,  13.8,  13.5,  14.2,  12.5,  12.7,  14.4,  15.1,  15.2,  16.4,  16.5,  15.9,  15.9,  15.4,  15.1
Belgium,  42.2,  44.0,  45.3,  49.2,  37.0,  38.7,  38.4,  39.4,  40.2,  40.2,  39.7,  39.4,  35.8,  39.9,  37.8,  34.1,  34.1,  35.7,  37.2,  39.0,  37.9,  34.4,  32.5,  35.2,  33.4,  31.9,  30.5,  30.1,  26.6,  29.0,  27.3,  22.7,  22.1,  21.4,  19.1,  17.7,  16.7,  16.7
Czech Republic,  129.2,  126.4,  120.1,  118.1,  121.7,  125.5,  132.0,  127.8,  136.1,  129.5,  129.5,  134.3,  136.1,  137.5,  136.1,  136.0,  136.1,  134.4,  126.0,  120.7,  109.7,  97.4,  93.3,  87.3,  88.5,  87.2,  85.6,  78.9,  71.9,  83.9,  81.0,  77.7,  80.0,  79.4,  76.2,  77.9,  79.9,  75.2
Denmark,  6.0,  5.5,  7.8,  6.7,  8.0,  11.3,  12.9,  13.9,  16.9,  23.8,  18.9,  22.9,  21.6,  23.2,  28.4,  28.7,  28.2,  26.3,  21.6,  23.7,  32.2,  26.8,  28.1,  30.2,  25.3,  34.7,  25.8,  21.9,  18.4,  15.4,  16.3,  16.3,  22.3,  17.1,  14.4,  21.6,  18.1,  15.9
