Region/Country/Economy,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
World, 2 058, 2 170, 2 255, 2 310, 2 281, 2 409, 2 474, 2 561, 2 710, 2 767, 2 809, 2 818, 2 851, 3 066, 3 161, 3 222, 3 401, 3 543, 3 722, 3 808, 3 930, 3 916, 3 977, 3 995, 4 106, 4 284, 4 340, 4 380, 4 533, 4 697, 4 718, 4 884, 5 071, 5 209, 5 335, 5 465, 5 715, 5 862
Canada,  67.9,  77.7,  82.6,  85.6,  87.3,  91.5,  97.1,  93.8,  97.7,  99.7,  97.1,  98.9,  98.3,  106.1,  113.9,  112.0,  111.1,  122.8,  127.6,  123.8,  124.3,  130.2,  136.4,  143.7,  149.1,  156.4,  157.5,  152.3,  159.5,  168.1,  160.7,  168.3,  176.5,  171.2,  170.2,  167.2,  183.4,  175.2
Mexico,  20.2,  21.6,  24.1,  25.2,  25.6,  25.0,  26.3,  33.0,  40.5,  43.2,  46.3,  51.2,  51.3,  51.5,  53.6,  47.5,  47.9,  48.6,  47.0,  52.1,  54.2,  54.6,  52.4,  54.8,  55.9,  59.6,  57.0,  61.2,  62.7,  66.6,  67.7,  77.3,  82.8,  87.6,  88.3,  100.2,  108.0,  112.5
United States, 1 189.5, 1 201.8, 1 191.8, 1 150.7, 1 056.1, 1 077.2, 1 055.2, 1 058.9, 1 094.1, 1 079.7, 1 055.1,  979.7,  918.9,  979.8,  944.2,  884.6,  936.2,  982.8, 1 027.0, 1 011.3, 1 028.9, 1 056.5, 1 093.3, 1 116.4, 1 160.2, 1 183.9, 1 222.8, 1 203.2, 1 207.7, 1 254.9, 1 199.9, 1 239.1, 1 205.3, 1 206.8, 1 189.7, 1 174.7, 1 253.0, 1 257.5
OECD North America, 1 277.6, 1 301.0, 1 298.6, 1 261.5, 1 169.0, 1 193.7, 1 178.5, 1 185.7, 1 232.3, 1 222.6, 1 198.5, 1 129.8, 1 068.4, 1 137.4, 1 111.7, 1 044.2, 1 095.2, 1 154.1, 1 201.6, 1 187.2, 1 207.4, 1 241.3, 1 282.2, 1 314.9, 1 365.2, 1 400.0, 1 437.3, 1 416.7, 1 429.9, 1 489.7, 1 428.3, 1 484.7, 1 464.6, 1 465.6, 1 448.2, 1 442.0, 1 544.3, 1 545.1
Australia,  4.1,  6.0,  7.4,  8.0,  8.9,  9.9,  11.7,  12.9,  14.4,  16.7,  19.2,  21.3,  21.4,  22.9,  24.4,  26.7,  27.5,  28.8,  29.7,  32.8,  30.9,  32.1,  33.5,  35.0,  37.7,  37.9,  38.3,  39.9,  41.8,  43.9,  46.3,  50.9,  52.1,  53.8,  55.7,  56.1,  58.3,  61.4
Japan,  8.5,  8.7,  13.6,  17.4,  19.2,  22.8,  28.0,  38.2,  45.1,  51.2,  52.5,  53.1,  56.7,  76.2,  81.5,  82.9,  85.6,  89.8,  96.0,  114.6,  122.4,  123.7,  126.7,  132.5,  137.1,  143.1,  148.0,  150.9,  159.7,  164.8,  164.1,  169.1,  174.9,  174.4,  173.7,  191.9,  209.4,  204.1
Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,  0.1,  4.4,  5.7,  5.5,  6.4,  7.4,  9.6,  12.0,  16.0,  19.4,  25.6,  31.1,  29.1,  35.6,  39.9,  43.7,  48.8,  50.9,  60.0,  63.8,  68.2,  73.3,  74.9
New Zealand,  0.2,  0.5,  0.6,  0.6,  0.6,  1.8,  3.1,  3.0,  2.1,  1.8,  2.2,  3.9,  4.1,  5.1,  6.1,  5.4,  5.5,  5.7,  5.8,  5.7,  6.7,  6.9,  6.9,  6.6,  6.4,  7.9,  9.2,  8.2,  9.5,  10.1,  10.9,  10.3,  8.2,  7.0,  7.0,  7.2,  8.2,  7.5
OECD Pacific,  12.9,  15.1,  21.5,  26.0,  28.7,  34.6,  42.8,  54.1,  61.6,  69.8,  73.9,  78.3,  82.2,  104.1,  112.0,  115.1,  123.0,  129.9,  137.0,  159.4,  167.4,  172.4,  179.1,  190.2,  200.6,  214.5,  226.6,  228.0,  246.6,  258.7,  265.1,  279.2,  286.1,  295.2,  300.2,  323.4,  349.2,  348.0
